trial,day,time,thatpistimulus,pistimulus,correctside,session,feedside,proportion,feed,camera
62,7,9:05,5,10.png,L,1,left,50,FALSE,TRUE
63,7,11:05,6,12.png,R,2,right,50,FALSE,FALSE
64,7,11:05,12,6.png,R,2,right,50,TRUE,TRUE
65,7,13:05,6,12.png,R,3,right,50,FALSE,FALSE
66,7,13:05,12,6.png,R,3,right,50,TRUE,TRUE
67,7,15:05,10,5.png,L,4,left,50,TRUE,FALSE
68,7,15:05,5,10.png,L,4,left,50,FALSE,TRUE
69,7,17:05,6,12.png,R,5,right,50,FALSE,FALSE
70,7,17:05,12,6.png,R,5,right,50,TRUE,TRUE
71,8,9:05,12,6.png,L,1,left,50,TRUE,FALSE
72,8,9:05,6,12.png,L,1,left,50,FALSE,TRUE
73,8,11:05,5,10.png,R,2,right,50,FALSE,FALSE
74,8,11:05,10,5.png,R,2,right,50,TRUE,TRUE
75,8,13:05,12,6.png,L,3,left,50,TRUE,FALSE
76,8,13:05,6,12.png,L,3,left,50,FALSE,TRUE
77,8,15:05,5,10.png,R,4,right,50,FALSE,FALSE
78,8,15:05,10,5.png,R,4,right,50,TRUE,TRUE
79,8,17:05,12,6.png,L,5,left,50,TRUE,FALSE
80,8,17:05,6,12.png,L,5,left,50,FALSE,TRUE
81,9,9:05,7,14.png,R,1,none,50,FALSE,FALSE
82,9,9:05,14,7.png,R,1,none,50,FALSE,TRUE
83,9,11:05,6,12.png,R,2,right,50,FALSE,FALSE
84,9,11:05,12,6.png,R,2,right,50,TRUE,TRUE
85,9,13:05,12,9.png,L,3,none,75,FALSE,FALSE
86,9,13:05,9,12.png,L,3,none,75,FALSE,TRUE
87,9,15:05,10,5.png,L,4,left,50,TRUE,FALSE
88,9,15:05,5,10.png,L,4,left,50,FALSE,TRUE
89,9,16:05,12,8.png,L,5,none,67,FALSE,FALSE
90,9,16:05,8,12.png,L,5,none,67,FALSE,TRUE
91,9,17:05,6,12.png,R,6,right,50,FALSE,FALSE
92,9,17:05,12,6.png,R,6,right,50,TRUE,TRUE
93,10,9:05,8,12.png,R,1,none,67,FALSE,FALSE
94,10,9:05,12,8.png,R,1,none,67,FALSE,TRUE
95,10,11:05,12,6.png,L,2,left,50,TRUE,FALSE
96,10,11:05,6,12.png,L,2,left,50,FALSE,TRUE
97,10,13:05,14,7.png,L,3,none,50,FALSE,FALSE
98,10,13:05,7,14.png,L,3,none,50,FALSE,TRUE
99,10,15:05,10,5.png,L,4,left,50,TRUE,FALSE
100,10,15:05,5,10.png,L,4,left,50,FALSE,TRUE
101,10,16:05,9,12.png,R,5,none,75,FALSE,FALSE
102,10,16:05,12,9.png,R,5,none,75,FALSE,TRUE
103,10,17:05,10,5.png,L,6,left,50,TRUE,FALSE
104,10,17:05,5,10.png,L,6,left,50,FALSE,TRUE
105,10,9:05,9,12.png,R,1,none,75,FALSE,FALSE
106,10,9:05,12,9.png,R,1,none,75,FALSE,TRUE
107,10,11:05,6,12.png,R,2,right,50,FALSE,FALSE
108,10,11:05,12,6.png,R,2,right,50,TRUE,TRUE
109,10,13:05,12,8.png,L,3,none,67,FALSE,FALSE
110,10,13:05,8,12.png,L,3,none,67,FALSE,TRUE
111,10,15:05,6,12.png,R,4,right,50,FALSE,FALSE
112,10,15:05,12,6.png,R,4,right,50,TRUE,TRUE
113,10,16:05,7,14.png,R,5,none,50,FALSE,FALSE
114,10,16:05,14,7.png,R,5,none,50,FALSE,TRUE
115,10,17:05,10,5.png,L,6,left,50,TRUE,FALSE
116,10,17:05,5,10.png,L,6,left,50,FALSE,TRUE
